timestamp,quality_setting,expected_bitrate,protocol,length,src_port,dst_port,tcp_flags,seq_num,ack_num,src_ip,dst_ip,ttl,is_spotify_tls,tls_record_length,iat,second,throughput_kbps
1763226506.9028437,Baja,24,TLS,368,41180,443,0x0018,1,1,192.168.174.137,35.186.224.26,64,True,309.0,,1763226506,21.088
1763226506.9030902,Baja,24,TLS,93,41180,443,0x0018,315,1,192.168.174.137,35.186.224.26,64,True,34.0,0.0002465248107910156,1763226506,21.088
1763226506.9035463,Baja,24,TLS,1514,41180,443,0x0010,354,1,192.168.174.137,35.186.224.26,64,True,,0.00045609474182128906,1763226506,21.088
1763226506.9035506,Baja,24,TLS,568,41180,443,0x0018,1814,1,192.168.174.137,35.186.224.26,64,True,1969.0,4.291534423828125e-06,1763226506,21.088
1763226506.9175916,Baja,24,TLS,93,443,41180,0x0018,1,2328,35.186.224.26,192.168.174.137,128,True,34.0,0.014040946960449219,1763226506,21.088
1763226507.0108318,Baja,24,TLS,1514,443,41180,0x0010,40,2328,35.186.224.26,192.168.174.137,128,True,83.0,0.09324026107788086,1763226507,19.608
1763226507.0108318,Baja,24,TLS,662,443,41180,0x0018,1500,2328,35.186.224.26,192.168.174.137,128,True,911.0,0.0,1763226507,19.608
1763226507.010832,Baja,24,TLS,93,443,41180,0x0018,2108,2328,35.186.224.26,192.168.174.137,128,True,34.0,2.384185791015625e-07,1763226507,19.608
1763226507.060201,Baja,24,TLS,89,41180,443,0x0018,2328,2147,192.168.174.137,35.186.224.26,64,True,30.0,0.049368858337402344,1763226507,19.608
1763226507.060332,Baja,24,TLS,93,41180,443,0x0018,2363,2147,192.168.174.137,35.186.224.26,64,True,34.0,0.00013113021850585938,1763226507,19.608
1763226519.6040752,Baja,24,TLS,82,35774,443,0x0018,1,1,192.168.174.137,35.186.224.41,64,True,23.0,12.543743133544922,1763226519,1.28
1763226519.6426115,Baja,24,TLS,78,443,35774,0x0018,1,29,35.186.224.41,192.168.174.137,128,True,19.0,0.03853631019592285,1763226519,1.28
1763226522.8585424,Baja,24,TLS,97,35778,443,0x0018,1,1,192.168.174.137,35.186.224.41,64,True,38.0,3.215930938720703,1763226522,1.528
1763226522.9176545,Baja,24,TLS,94,443,35778,0x0018,1,44,35.186.224.41,192.168.174.137,128,True,35.0,0.0591120719909668,1763226522,1.528
1763226549.6014597,Baja,24,TLS,82,35774,443,0x0018,29,25,192.168.174.137,35.186.224.41,64,True,23.0,26.683805227279663,1763226549,1.28
1763226549.6523867,Baja,24,TLS,78,443,35774,0x0018,25,57,35.186.224.41,192.168.174.137,128,True,19.0,0.050926923751831055,1763226549,1.28
1763226552.9288511,Baja,24,TLS,97,35778,443,0x0018,44,41,192.168.174.137,35.186.224.41,64,True,38.0,3.2764644622802734,1763226552,1.528
1763226552.9664202,Baja,24,TLS,94,443,35778,0x0018,41,87,35.186.224.41,192.168.174.137,128,True,35.0,0.03756904602050781,1763226552,1.528
1763226568.4591708,Baja,24,TLS,138,41180,443,0x0018,2402,2147,192.168.174.137,35.186.224.26,64,True,79.0,15.492750644683838,1763226568,7.552
1763226568.4684615,Baja,24,TLS,93,41180,443,0x0018,2486,2147,192.168.174.137,35.186.224.26,64,True,34.0,0.009290695190429688,1763226568,7.552
1763226568.469624,Baja,24,TLS,164,41180,443,0x0018,2525,2147,192.168.174.137,35.186.224.26,64,True,105.0,0.0011625289916992188,1763226568,7.552
1763226568.4882746,Baja,24,TLS,93,443,41180,0x0018,2147,2635,35.186.224.26,192.168.174.137,128,True,34.0,0.018650531768798828,1763226568,7.552
1763226568.5206172,Baja,24,TLS,274,443,41180,0x0018,2186,2635,35.186.224.26,192.168.174.137,128,True,75.0,0.03234267234802246,1763226568,7.552
1763226568.5472515,Baja,24,TLS,89,41180,443,0x0018,2635,2406,192.168.174.137,35.186.224.26,64,True,30.0,0.02663421630859375,1763226568,7.552
1763226568.568367,Baja,24,TLS,93,41180,443,0x0018,2670,2406,192.168.174.137,35.186.224.26,64,True,34.0,0.021115541458129883,1763226568,7.552
1763226579.6018019,Baja,24,TLS,82,35774,443,0x0018,57,49,192.168.174.137,35.186.224.41,64,True,23.0,11.033434867858887,1763226579,1.28
1763226579.6368241,Baja,24,TLS,78,443,35774,0x0018,49,85,35.186.224.41,192.168.174.137,128,True,19.0,0.03502225875854492,1763226579,1.28
1763226582.9880629,Baja,24,TLS,97,35778,443,0x0018,87,81,192.168.174.137,35.186.224.41,64,True,38.0,3.35123872756958,1763226582,0.776
1763226583.026939,Baja,24,TLS,94,443,35778,0x0018,81,130,35.186.224.41,192.168.174.137,128,True,35.0,0.03887605667114258,1763226583,0.752
1763226599.155055,Baja,24,TLS,127,443,52814,0x0018,1,2,35.186.224.24,192.168.174.137,128,True,68.0,16.128116130828857,1763226599,3.048
1763226599.155056,Baja,24,TLS,127,443,52784,0x0018,1,2,35.186.224.24,192.168.174.137,128,True,68.0,9.5367431640625e-07,1763226599,3.048
1763226599.155056,Baja,24,TLS,127,443,52798,0x0018,1,2,35.186.224.24,192.168.174.137,128,True,68.0,0.0,1763226599,3.048
